Depth CCSF (m),Age (ka BP),Sed Rate,Sedimentation Rate (cm/ka)
0.0,0.0,,
2.3,73.0,3.150684931506849,3.150684931506849
2.85,89.0,3.4375000000000018,3.4375000000000018
4.27,134.0,3.1555555555555546,3.1555555555555546
6.15,191.0,3.298245614035089,3.298245614035089
7.36,219.0,4.321428571428571,4.321428571428571
9.9,280.0,4.163934426229508,4.163934426229508
12.3,336.0,4.2857142857142865,4.2857142857142865
13.7,363.0,5.18518518518518,5.18518518518518
15.4,392.0,5.862068965517245,5.862068965517245
17.0,423.0,5.161290322580644,5.161290322580644
20.3,476.0,6.226415094339624,6.226415094339624
22.0,505.0,5.862068965517239,5.862068965517239
24.5,569.0,3.90625,3.90625
26.8,621.0,4.423076923076925,4.423076923076925
29.0,685.0,3.437499999999999,3.437499999999999
29.7,714.0,2.4137931034482736,2.4137931034482736
31.7,769.0,3.6363636363636362,3.6363636363636362
32.3,791.0,2.7272727272727173,2.7272727272727173
33.3,812.8,4.587155963302761,4.587155963302761
36.6,916.5,3.1822565091610437,3.1822565091610437
37.8,935.0,6.486486486486463,6.486486486486463
40.8,992.0,5.263157894736842,5.263157894736842
43.9,1061.0,4.492753623188408,4.492753623188408
44.8,1084.0,3.913043478260864,3.913043478260864
48.899,1175.0,4.504395604395609,4.504395604395609
