SectionLabel,Sand>,Top depth CCSF (m),Bottom depth CCSF (m),Thickness (cm)
U1474D_1H3,13,3.148,3.2739999999999996,12.599999999999945
U1474F_2H4,13,8.634,8.714,8.000000000000007
U1474D_3H2,12,12.275,12.305,2.999999999999936
U1474A_3H5,12,20.407999999999998,20.492,8.400000000000318
U1474F_4H5,13,29.226,29.296000000000003,7.000000000000384
U1474F_5H1,12,33.748000000000005,33.82,7.199999999999562
U1474F_5H2,13,35.653,35.701,4.800000000000182
U1474F_5H5,14.25,40.138000000000005,40.449999999999996,31.19999999999905
U1474D_6H2,13,43.315000000000005,43.347,3.1999999999996476
U1474D_7H2,13,52.751000000000005,52.824999999999996,7.399999999999096
U1474D_8H5,13,66.889,66.955,6.60000000000025
U1474F_8H5,14,71.164,71.226,6.199999999999761
U1474F_9H1,13,75.3,75.354,5.400000000000205
U1474F_9H2,14,76.37299999999999,76.845,47.20000000000084
U1474F_9H6,14,81.851,81.891,4.000000000000625
U1474D_10H2,14,83.63199999999999,83.72200000000001,9.000000000001762
U1474D_10H2,,84.07,84.11,4
U1474D_10H4,14,87.401,87.44500000000001,4.400000000001114
U1474D_11H1,13,93.52,93.59400000000001,7.400000000001228
U1474F_11H6,14,104.05999999999999,104.122,6.200000000001182
U1474D_12H2,14,104.993,105.045,5.200000000000671
U1474F_12H5,12.9,113.085,113.12100000000001,3.6000000000015575
U1474E_2H4,12,116.786,117.028,24.200000000000443
U1474E_2H5,13.5,118.405,118.489,8.400000000000318
U1474D_14H3,13.5,127.51899999999999,127.563,4.400000000001114
U1474A_14H5,13,136.875,136.97299999999998,9.799999999998477
U1474F_15H5,12,142.751,142.981,22.999999999998977
U1474E_6H2,12.5,147.578,147.666,8.799999999999386
U1474F_16H4,12,151.473,151.577,10.3999999999985
U1474F_16H5,14.1,153.089,153.309,21.999999999999886
U1474A_16H6,14,155.589,155.661,7.200000000000273
U1474E_8H2,13,165.328,165.511,18.299999999999272
U1474E_8H4,12,168.63400000000001,168.91,27.599999999998204
U1474E_9H3,13.2,177.94400000000002,178.102,15.799999999998704
U1474F_19H4,12,183.12,183.23399999999998,11.39999999999759
U1474E_10F1,13,185.817,185.851,3.3999999999991815
U1474F_20H2,13,189.18200000000002,189.22199999999998,3.999999999996362
U1474A_20H1,11,191.654,191.82999999999998,17.599999999998772
U1474A_20H6,10.5,198.181,198.207,2.5999999999982037
U1474F_23F3,12,216.023,216.17399999999998,15.099999999998204
U1474E_18F1,12,227.5,227.546,4.599999999999227
U1474E_19F2,12,233.4,233.47199999999998,7.199999999997431
U1474F_30F3,13,249.328,249.37,4.200000000000159
